brand,product_name,currency,prices,category,model_number,seller,rating,rating_count,delivery,partner_ratings,partner_rating_count,SKU,FBN,URL
BODY SCULPTURE,Travel Size Foam Roller 30x10cm,EGP,425.00,Exercise & Fitness,QB-018-30,noon,,,FREE Two Days Delivery.,4.3,,N52252209A,express,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee%22
SportQ,Yoga Mat With Holder Strap And Bag - Blue,EGP,179.00,Exercise & Fitness,9NJQMBG5,Bekstore,,,"Tue, 14 March - Wed, 15 March.",3.5,,ZC054A0929,marketplace,https://www.noon.com/egypt-en/yoga-mat-with-holder-strap-and-bag-blue/ZC054A09293DAA8DD87CEZ/p/?o=zc054a09293daa8dd87cez-1%22
Athlete Home,Exercise Mat 5Mm Eva,EGP,313.50,Exercise & Fitness,31512,Athlete Home,,,"Fri, 10 March.",3.7,,Z259A4C993,express,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1%22
UFIT,Thick Yoga Mat for Fitness & Exercise - Pink 183*61*1cm,EGP,200.00,Exercise & Fitness,322-83865529-17,Athlete Home,,,"Fri, 10 March.",3.7,,N44711467A,express,https://www.noon.com/egypt-en/thick-yoga-mat-for-fitness-exercise-pink-183-61-1cm/N44711467A/p/?o=e0e26e2793ff30fd%22
Athlete Home,Yoga Ball 2021 65cm,EGP,206.70,Exercise & Fitness,6316-71,Athlete Home,,,"Fri, 10 March.",3.7,,N51237367A,express,https://www.noon.com/egypt-en/yoga-ball-2021-65cm/N51237367A/p/?o=caadc10a1c81c2cf%22
BODY SCULPTURE,Cork Yoga Mat ‎61.9 x 10.6 x 10.2cm,EGP,1049.00,Exercise & Fitness,QB-8380,noon,,,"Fri, 10 March.",4.3,,N52252533A,express,https://www.noon.com/egypt-en/cork-yoga-mat-61-9-x-10-6-x-10-2cm/N52252533A/p/?o=f3d9eb65227cdcaf%22
Athlete Home,Athlete Home 5mm Mat With Bag,EGP,200.00,Exercise & Fitness,6555,Athlete Home,,,"Sat, 11 March.",3.6,,Z3E1423A1C,express,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z3E1423A1CF26E531378CZ/p/?o=z3e1423a1cf26e531378cz-1%22
Athlete Home,Exercise Mat 5Mm Eva,EGP,313.50,Exercise & Fitness,31515,Athlete Home,,,"Sat, 11 March.",3.6,,Z5E9AE9A02,express,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z5E9AE9A0236BFF7F7BEAZ/p/?o=z5e9ae9a0236bff7f7beaz-1%22
Athlete Home,Athlete Home Balance Pad,EGP,200.00,Exercise & Fitness,5846,Athlete Home,,,"Sat, 11 March.",3.6,,ZDBEEFDA5F,express,https://www.noon.com/egypt-en/athlete-home-balance-pad/ZDBEEFDA5F0862CA5E462Z/p/?o=zdbeefda5f0862ca5e462z-1%22
Athlete Home,Leather Gym Sand Bag 100cm,EGP,585.00,Exercise & Fitness,22800,Athlete Home,,,"Sat, 11 March - Tue, 14 March.",3.7,,N52997044A,express,https://www.noon.com/egypt-en/leather-gym-sand-bag-100cm/N52997044A/p/?o=b1cadc6eef97ef2f%22
Athlete Home,Athlete Home 5mm Mat With Bag,EGP,200.00,Exercise & Fitness,6555,Athlete Home,,,"Fri, 10 March.",3.7,,ZFD53502DB,express,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/ZFD53502DB9233410B847Z/p/?o=zfd53502db9233410b847z-1%22
Generic,Set of 5 Levels Resistance Bands Yoga Belt Elastic Rubber Gym Strength Training Stretching Belts-ee,,,Exercise & Fitness,,Fekra Store,,,Two Days Delivery.,3.7,,N24047352A,express,https://www.noon.com/egypt-en/set-of-5-levels-resistance-bands-yoga-belt-elastic-rubber-gym-strength-training-stretching-belts-ee/N24047352A/p/?o=dfe00600f91ccb9f%22
MT,Top-Fit Massage Gym Ball 65centimeter,EGP,215.25,Exercise & Fitness,XH-9180,noon,,,"Fri, 10 March - Sat, 11 March.",4.3,,N53067619A,express,https://www.noon.com/egypt-en/top-fit-massage-gym-ball-65centimeter/N53067619A/p/?o=ef92825edf3bbe8e%22
Athlete Home,Athlete Home Foam Roller multi Color,EGP,249.00,Exercise & Fitness,6034,Athlete Home,,,"Sat, 11 March.",3.6,,Z33836E9B3,express,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1%22
Athlete Home,Exercise yoga Aerobic Ball With Box and Pump,,,Exercise & Fitness,,Athlete Home,,,"Fri, 10 March.",3.7,,Z64A3EE37C,express,https://www.noon.com/egypt-en/exercise-yoga-aerobic-ball-with-box-and-pump/Z64A3EE37C15FF5134D5DZ/p/?o=z64a3ee37c15ff5134d5dz-1%22
Athlete Home,Exercise Mat,,,Exercise & Fitness,,Athlete Home,,,"Fri, 10 March.",3.7,,ZEEE02A03A,express,https://www.noon.com/egypt-en/exercise-mat/ZEEE02A03A94DFD01CE0CZ/p/?o=zeee02a03a94dfd01ce0cz-1%22
SkyLand,Anti-Skid Yoga Mat Blue 4mm,EGP,200.00,Exercise & Fitness,EM-9306-P,ALKAYAN,,,"Tue, 14 March - Fri, 17 March.",,,N39337468A,marketplace,https://www.noon.com/egypt-en/anti-skid-yoga-mat-blue-4mm/N39337468A/p/?o=be89c7d91019973b%22
Athlete Home,Red Floor Sand Bag 160cm,EGP,2250.00,Exercise & Fitness,25043,Athlete Home,,,"Sat, 11 March - Tue, 14 March.",3.7,,N52997095A,express,https://www.noon.com/egypt-en/red-floor-sand-bag-160cm/N52997095A/p/?o=e37150243640fc6b%22
Athlete Home,Leather Gym Sand Bag 150cm,EGP,1148.85,Exercise & Fitness,22798,Athlete Home,,,"Tue, 14 March - Wed, 15 March.",3.6,,N52997042A,express,https://www.noon.com/egypt-en/leather-gym-sand-bag-150cm/N52997042A/p/?o=e85f7d807deaa15b%22
Spurt,Yoga Mat 1.0 Piece 173x61cm,EGP,278.00,Exercise & Fitness,2025516128,noon,,,"Fri, 10 March - Sat, 11 March.",4.3,,N46040241A,express,https://www.noon.com/egypt-en/yoga-mat-1-0-piece-173x61cm/N46040241A/p/?o=bbdc1a202df01efe%22
